symbol,company_name,sector,series
CREDITACC,CREDITACCESS GRAMEEN LIMITED,Microfinance Institutions,EQ
CRISIL,CRISIL Limited,Other Financial Services,EQ
CROMPTON,Crompton Greaves Consumer Electricals Limited,Household Appliances,EQ
CUB,City Union Bank Limited,Private Sector Bank,EQ
CUMMINSIND,Cummins India Limited,Compressors Pumps & Diesel Engines,EQ
CYIENT,Cyient Limited,IT Enabled Services,EQ
DABUR,Dabur India Limited,Personal Care,EQ
DALBHARAT,Dalmia Bharat Limited,Cement & Cement Products,EQ
DATAPATTNS,Data Patterns (India) Limited,Aerospace & Defense,EQ
DBREALTY,Valor Estate Limited,Residential Commercial Projects,EQ
DCMSHRIRAM,DCM Shriram Limited,Diversified,EQ
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,Commodity Chemicals,EQ
DEEPAKNTR,Deepak Nitrite Limited,Specialty Chemicals,EQ
DELHIVERY,Delhivery Limited,Logistics Solution Provider,EQ
DEVYANI,Devyani International Limited,Restaurants,EQ
DIVISLAB,Divi's Laboratories Limited,Pharmaceuticals,EQ
DIXON,Dixon Technologies (India) Limited,Consumer Electronics,EQ
DLF,DLF Limited,Residential Commercial Projects,EQ
DMART,Avenue Supermarts Limited,Diversified Retail,EQ
DOMS,DOMS Industries Limited,Stationary,EQ
DRREDDY,Dr. Reddy's Laboratories Limited,Pharmaceuticals,EQ
ECLERX,eClerx Services Limited,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),EQ
EICHERMOT,Eicher Motors Limited,2/3 Wheelers,EQ
EIDPARRY,EID Parry India Limited,Other Food Products,EQ
EIHOTEL,EIH Limited,Hotels & Resorts,EQ
ELECON,Elecon Engineering Company Limited,Heavy Electrical Equipment,EQ
ELGIEQUIP,Elgi Equipments Limited,Compressors Pumps & Diesel Engines,EQ
EMAMILTD,Emami Limited,Personal Care,EQ
EMCURE,Emcure Pharmaceuticals Limited,Pharmaceuticals,EQ
ENDURANCE,Endurance Technologies Limited,Auto Components & Equipments,EQ
ENGINERSIN,Engineers India Limited,Civil Construction,EQ
ENRIN,Siemens Energy India Limited,Heavy Electrical Equipment,EQ
ERIS,Eris Lifesciences Limited,Pharmaceuticals,EQ
ESCORTS,Escorts Kubota Limited,Tractors,EQ
ETERNAL,ETERNAL LIMITED,E-Retail/ E-Commerce,EQ
EXIDEIND,Exide Industries Limited,Auto Components & Equipments,EQ
FACT,Fertilizers and Chemicals Travancore Limited,Fertilizers,EQ
FEDERALBNK,The Federal Bank  Limited,Private Sector Bank,EQ
FINCABLES,Finolex Cables Limited,Cables - Electricals,EQ
FINPIPE,Finolex Industries Limited,Plastic Products - Industrial,EQ
FIRSTCRY,Brainbees Solutions Limited,E-Retail/ E-Commerce,EQ
FIVESTAR,Five-Star Business Finance Limited,Non Banking Financial Company (NBFC),EQ
FLUOROCHEM,Gujarat Fluorochemicals Limited,Specialty Chemicals,EQ
FORCEMOT,FORCE MOTORS LTD,Passenger Cars & Utility Vehicles,EQ
FORTIS,Fortis Healthcare Limited,Hospital,EQ
FSL,Firstsource Solutions Limited,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),EQ
GAIL,GAIL (India) Limited,Gas Transmission/Marketing,EQ
GESHIP,The Great Eastern Shipping Company Limited,Shipping,EQ
GICRE,General Insurance Corporation of India,General Insurance,EQ
GILLETTE,Gillette India Limited,Personal Care,EQ
GLAND,Gland Pharma Limited,Pharmaceuticals,EQ
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,Pharmaceuticals,EQ
GLENMARK,Glenmark Pharmaceuticals Limited,Pharmaceuticals,EQ
GMDCLTD,Gujarat Mineral Development Corporation Limited,Industrial Minerals,EQ
GMRAIRPORT,GMR AIRPORTS LIMITED,Airport & Airport services,EQ
GODFRYPHLP,Godfrey Phillips India Limited,Cigarettes & Tobacco Products,EQ
GODIGIT,Go Digit General Insurance Limited,General Insurance,EQ
GODREJAGRO,Godrej Agrovet Limited,Animal Feed,EQ
GODREJCP,Godrej Consumer Products Limited,Personal Care,EQ
GODREJIND,Godrej Industries Limited,Diversified,EQ
GODREJPROP,Godrej Properties Limited,Residential Commercial Projects,EQ
GPIL,Godawari Power And Ispat limited,Iron & Steel Products,EQ
GRANULES,Granules India Limited,Pharmaceuticals,EQ
GRAPHITE,Graphite India Limited,Electrodes & Refractories,EQ
GRASIM,Grasim Industries Limited,Cement & Cement Products,EQ
GRAVITA,Gravita India Limited,Industrial Minerals,EQ
GRSE,Garden Reach Shipbuilders & Engineers Limited,Aerospace & Defense,EQ
GSPL,Gujarat State Petronet Limited,Gas Transmission/Marketing,EQ
GUJGASLTD,Gujarat Gas Limited,LPG/CNG/PNG/LNG Supplier,EQ
GVT&D,GE Vernova T&D India Limited,Heavy Electrical Equipment,EQ
HAL,Hindustan Aeronautics Limited,Aerospace & Defense,EQ
HAPPSTMNDS,Happiest Minds Technologies Limited,Computers - Software & Consulting,EQ
HAVELLS,Havells India Limited,Consumer Electronics,EQ
HBLENGINE,HBL Engineering Limited,Other Industrial Products,EQ
HCLTECH,HCL Technologies Limited,Computers - Software & Consulting,EQ
HDFCAMC,HDFC Asset Management Company Limited,Asset Management Company,EQ
HDFCBANK,HDFC Bank Limited,Private Sector Bank,EQ
HDFCLIFE,HDFC Life Insurance Company Limited,Life Insurance,EQ
HEG,HEG Limited,Electrodes & Refractories,EQ
HEROMOTOCO,Hero MotoCorp Limited,2/3 Wheelers,EQ
HEXT,Hexaware Technologies Limited,Computers - Software & Consulting,EQ
HFCL,HFCL Limited,Telecom - Infrastructure,EQ
HINDALCO,Hindalco Industries Limited,Aluminium,EQ
